system:index,0_B11_01,0_B12_01,0_B2_01,0_B3_01,0_B4_01,0_B5_01,0_B6_01,0_B7_01,0_B8A_01,0_B8_01,10_B11_11,10_B12_11,10_B2_11,10_B3_11,10_B4_11,10_B5_11,10_B6_11,10_B7_11,10_B8A_11,10_B8_11,11_B11_12,11_B12_12,11_B2_12,11_B3_12,11_B4_12,11_B5_12,11_B6_12,11_B7_12,11_B8A_12,11_B8_12,1_B11_02,1_B12_02,1_B2_02,1_B3_02,1_B4_02,1_B5_02,1_B6_02,1_B7_02,1_B8A_02,1_B8_02,2_B11_03,2_B12_03,2_B2_03,2_B3_03,2_B4_03,2_B5_03,2_B6_03,2_B7_03,2_B8A_03,2_B8_03,3_B11_04,3_B12_04,3_B2_04,3_B3_04,3_B4_04,3_B5_04,3_B6_04,3_B7_04,3_B8A_04,3_B8_04,4_B11_05,4_B12_05,4_B2_05,4_B3_05,4_B4_05,4_B5_05,4_B6_05,4_B7_05,4_B8A_05,4_B8_05,5_B11_06,5_B12_06,5_B2_06,5_B3_06,5_B4_06,5_B5_06,5_B6_06,5_B7_06,5_B8A_06,5_B8_06,6_B11_07,6_B12_07,6_B2_07,6_B3_07,6_B4_07,6_B5_07,6_B6_07,6_B7_07,6_B8A_07,6_B8_07,7_B11_08,7_B12_08,7_B2_08,7_B3_08,7_B4_08,7_B5_08,7_B6_08,7_B7_08,7_B8A_08,7_B8_08,8_B11_09,8_B12_09,8_B2_09,8_B3_09,8_B4_09,8_B5_09,8_B6_09,8_B7_09,8_B8A_09,8_B8_09,9_B11_10,9_B12_10,9_B2_10,9_B3_10,9_B4_10,9_B5_10,9_B6_10,9_B7_10,9_B8A_10,9_B8_10,label,.geo
0,0.2271,0.1335,0.0589,0.0943,0.0993,0.1933,0.3063,0.3275,0.348,0.3505,0.2803,0.1977,0.0609,0.0965,0.1298,0.167,0.2078,0.2239,0.2498,0.2484,0.25195,0.17345,0.06225,0.09425,0.11035,0.16245,0.21605,0.2325,0.25675,0.25015,0.0458,0.0248,0.1573,0.1839,0.1907,0.2632,0.2945,0.3029,0.2937,0.3101,0.2637,0.1664,0.06325,0.10385,0.13325,0.1962,0.2514,0.27275,0.3007,0.29945,0.31565,0.2297,0.08325,0.11405,0.1551,0.18835,0.20305,0.2196,0.2454,0.2398,0.3872,0.2987,0.0941,0.1299,0.1579,0.2089,0.2388,0.2539,0.2811,0.2781,0.18035,0.0732,0.02245,0.0443,0.01935,0.056,0.34535,0.52495,0.5348,0.528,0.1853,0.0763,0.0294,0.0476,0.0251,0.0557,0.3234,0.5075,0.5437,0.4954,0.1852,0.0907,0.0399,0.0659,0.0499,0.0983,0.2576,0.319,0.3514,0.3157,0.305,0.2255,0.07045,0.0969,0.1347,0.16825,0.196,0.21495,0.23995,0.2289,0.32495,0.24545,0.0761,0.10995,0.13875,0.18305,0.21245,0.2298,0.2532,0.2407,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2311,0.1667,0.0638,0.0811,0.1014,0.1339,0.1662,0.1826,0.2007,0.2005,0.2736,0.1833,0.062,0.0992,0.1319,0.182,0.2487,0.2741,0.3026,0.2897,0.274,0.19925,0.0615,0.09185,0.10975,0.164,0.2445,0.26665,0.2922,0.28865,0.0368,0.0255,0.5383,0.5566,0.5854,0.6139,0.6047,0.581,0.5626,0.5863,0.26215,0.19535,0.0634,0.08975,0.1099,0.14555,0.16315,0.18015,0.20105,0.19825,0.2779,0.2095,0.06955,0.09445,0.1123,0.15065,0.17155,0.18655,0.2057,0.20355,0.2794,0.2128,0.0656,0.0978,0.1106,0.1489,0.1758,0.1883,0.2093,0.2043,0.1949,0.09195,0.0141,0.0378,0.01545,0.0576,0.32835,0.5065,0.52035,0.52315,0.1872,0.079,0.0309,0.0527,0.0277,0.0696,0.3219,0.5287,0.5517,0.5162,0.24095,0.1686,0.04315,0.0612,0.07035,0.09395,0.1611,0.19285,0.2281,0.2029,0.419,0.3081,0.09035,0.12815,0.1883,0.22215,0.2423,0.26495,0.2933,0.2778,0.30975,0.2263,0.07145,0.10775,0.11365,0.1639,0.2457,0.2758,0.2953,0.28685,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.2731,0.2072,0.083,0.111,0.1416,0.1685,0.1817,0.1926,0.2144,0.2202,0.3349,0.2411,0.0857,0.122,0.1815,0.2049,0.2289,0.2426,0.2778,0.2688,0.3522,0.2745,0.09295,0.1252,0.1738,0.20215,0.21245,0.2307,0.2589,0.258,0.0215,0.0166,0.4658,0.4786,0.4947,0.4963,0.4612,0.4662,0.4318,0.4786,0.2945,0.22405,0.08075,0.11645,0.15285,0.1808,0.19275,0.2062,0.22715,0.2275,0.3367,0.2772,0.1029,0.143,0.18085,0.2124,0.2224,0.23565,0.25655,0.25565,0.3635,0.2938,0.1063,0.1524,0.1862,0.2242,0.256,0.2731,0.298,0.2953,0.1696,0.0711,0.015,0.0391,0.0188,0.0552,0.3246,0.5081,0.5344,0.5357,0.1715,0.0728,0.0331,0.0526,0.0306,0.0606,0.3116,0.499,0.5366,0.5132,0.2292,0.12995,0.0431,0.06465,0.06245,0.10445,0.23005,0.28935,0.3246,0.2971,0.409,0.31695,0.0886,0.12645,0.1608,0.2054,0.24815,0.26555,0.2973,0.2875,0.3431,0.2366,0.0665,0.1057,0.10735,0.17315,0.25325,0.2804,0.3071,0.2955,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.2638,0.1707,0.0587,0.0874,0.1052,0.1542,0.2071,0.2249,0.25,0.2596,0.235,0.1467,0.0433,0.0738,0.0953,0.1392,0.1852,0.2038,0.2295,0.2216,0.21045,0.1315,0.04565,0.0762,0.0898,0.1378,0.1797,0.19205,0.2204,0.2134,0.0332,0.0244,0.8092,0.8062,0.8098,0.8513,0.8068,0.758,0.7127,0.7774,0.2718,0.1777,0.05675,0.096,0.12335,0.1742,0.21235,0.23455,0.25415,0.2551,0.3309,0.23825,0.0831,0.1226,0.15475,0.19295,0.2274,0.2501,0.27535,0.26835,0.2747,0.1786,0.0654,0.1024,0.1087,0.1585,0.2222,0.2438,0.2658,0.2618,0.2583,0.155,0.04985,0.08775,0.0753,0.13145,0.29715,0.3672,0.39155,0.3844,0.2928,0.1719,0.0708,0.1074,0.0866,0.1551,0.3575,0.4317,0.4626,0.4264,0.2453,0.1577,0.054,0.0839,0.07495,0.13365,0.23085,0.2693,0.30315,0.27095,0.2861,0.19805,0.0595,0.0847,0.09655,0.13755,0.21145,0.2396,0.2701,0.25395,0.25555,0.1607,0.05695,0.0867,0.1057,0.14345,0.19125,0.21265,0.2438,0.2234,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2819,0.1847,0.0664,0.0991,0.1076,0.1646,0.2494,0.269,0.2925,0.2936,0.2693,0.1944,0.0675,0.0983,0.1278,0.1638,0.1934,0.2101,0.2309,0.2267,0.2502,0.1633,0.0602,0.09505,0.10455,0.15435,0.2208,0.242,0.26595,0.263,0.0442,0.0264,0.3049,0.3313,0.34,0.3857,0.4165,0.4149,0.3996,0.4274,0.3221,0.2244,0.0822,0.1166,0.1511,0.19055,0.2343,0.25535,0.2874,0.2837,0.3455,0.2594,0.0882,0.117,0.1489,0.18195,0.1988,0.21345,0.23785,0.2346,0.3073,0.2316,0.0697,0.1065,0.1197,0.1714,0.1916,0.2092,0.2282,0.2257,0.1753,0.0782,0.0175,0.0389,0.0217,0.0569,0.2828,0.4224,0.4375,0.439,0.2035,0.0888,0.0327,0.048,0.0274,0.0572,0.3126,0.4559,0.4857,0.465,0.23435,0.1517,0.047,0.06035,0.06425,0.0941,0.1634,0.1952,0.2264,0.19925,0.3568,0.2642,0.0732,0.09515,0.1319,0.15925,0.17595,0.19655,0.22345,0.2119,0.33865,0.2368,0.0731,0.10555,0.1318,0.17505,0.20895,0.2268,0.25655,0.2389,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2655,0.1746,0.0591,0.0878,0.0919,0.1522,0.2216,0.2428,0.2656,0.2684,0.2317,0.1782,0.0496,0.0779,0.0981,0.1276,0.1592,0.1708,0.1943,0.1962,0.24755,0.17635,0.05575,0.0841,0.0953,0.13715,0.18965,0.2132,0.2289,0.23275,0.0713,0.0418,0.1711,0.1925,0.2042,0.247,0.2724,0.2788,0.2864,0.2991,0.30005,0.20425,0.0682,0.0985,0.1328,0.1691,0.20345,0.2243,0.25285,0.24625,0.3138,0.23045,0.0766,0.10015,0.13295,0.16345,0.1781,0.19825,0.2242,0.215,0.2801,0.2038,0.0604,0.0916,0.1028,0.1531,0.1939,0.2066,0.2323,0.2256,0.1739,0.0723,0.0264,0.0485,0.0291,0.0679,0.308,0.4665,0.4876,0.4914,0.1802,0.0746,0.0332,0.0498,0.0281,0.0636,0.3164,0.5061,0.5347,0.486,0.23385,0.14515,0.0464,0.06305,0.06475,0.09995,0.2095,0.2611,0.301,0.2558,0.25885,0.2298,0.05145,0.0619,0.08595,0.1059,0.1228,0.13535,0.1576,0.1491,0.33685,0.30815,0.07565,0.0998,0.1351,0.1614,0.1771,0.1938,0.21445,0.2013,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.2303,0.1606,0.0495,0.0689,0.0871,0.1163,0.1481,0.1728,0.1905,0.1779,0.2291,0.1455,0.0335,0.0586,0.074,0.1156,0.1585,0.185,0.2081,0.2017,0.2328,0.16055,0.0447,0.06635,0.0884,0.12845,0.15435,0.17035,0.19125,0.1856,0.0802,0.0529,0.1815,0.1905,0.2202,0.2379,0.2433,0.2745,0.2704,0.2717,0.25465,0.16795,0.042,0.0671,0.082,0.12565,0.163,0.1895,0.21595,0.201,0.2491,0.16995,0.0524,0.08205,0.0825,0.1312,0.2204,0.2384,0.2664,0.2563,0.2455,0.1467,0.0431,0.0755,0.0581,0.1273,0.2705,0.3206,0.3379,0.3037,0.238,0.1403,0.0397,0.07225,0.0578,0.1218,0.286,0.3627,0.3828,0.3592,0.2814,0.1743,0.0595,0.0986,0.09,0.1629,0.3354,0.4192,0.462,0.422,0.2378,0.1396,0.0488,0.069,0.0663,0.1104,0.2322,0.2858,0.3223,0.2737,0.26085,0.1688,0.04595,0.0688,0.07555,0.117,0.2101,0.24465,0.28095,0.2582,0.26685,0.17585,0.0439,0.0673,0.0699,0.1157,0.19715,0.22915,0.2659,0.24475,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.2685,0.1942,0.0682,0.0945,0.1236,0.1553,0.1757,0.1944,0.2155,0.22,0.2998,0.2191,0.073,0.1016,0.1461,0.176,0.1902,0.21,0.2413,0.2309,0.31475,0.23835,0.0771,0.1076,0.1459,0.17945,0.1965,0.2154,0.24645,0.23915,0.019,0.0169,0.7734,0.7598,0.7674,0.7918,0.7609,0.734,0.6924,0.7492,0.28775,0.20705,0.07015,0.1061,0.13515,0.1795,0.1981,0.21845,0.24435,0.2431,0.30075,0.22585,0.0833,0.11385,0.1427,0.1804,0.199,0.21605,0.24255,0.23685,0.2736,0.1969,0.054,0.085,0.0978,0.1419,0.1761,0.193,0.219,0.2128,0.1677,0.0701,0.013,0.03595,0.0116,0.04765,0.33625,0.5501,0.5671,0.5618,0.1798,0.0704,0.0157,0.0347,0.0124,0.0505,0.3261,0.5603,0.5862,0.5507,0.235,0.1473,0.04205,0.0656,0.06365,0.09995,0.2091,0.2636,0.30035,0.2642,0.25115,0.1871,0.04045,0.0527,0.076,0.09435,0.10425,0.119,0.14215,0.12955,0.40225,0.33335,0.098,0.1315,0.1739,0.2134,0.23485,0.2559,0.28725,0.2724,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2411,0.1558,0.0655,0.091,0.0986,0.1491,0.2157,0.2473,0.2622,0.2649,0.2821,0.1998,0.0526,0.0884,0.1201,0.1611,0.1944,0.2136,0.2443,0.2452,0.285,0.2114,0.0589,0.08965,0.1168,0.1513,0.19105,0.20505,0.22905,0.22655,0.0417,0.0274,0.4949,0.5127,0.5302,0.5639,0.5675,0.5468,0.5245,0.5736,0.24615,0.16975,0.0614,0.0912,0.10905,0.1498,0.1945,0.21375,0.2301,0.2345,0.26195,0.19335,0.06425,0.0925,0.1231,0.15215,0.17195,0.18695,0.206,0.2026,0.288,0.2176,0.0727,0.1043,0.1381,0.1664,0.1887,0.2042,0.2266,0.2237,0.21085,0.11285,0.0234,0.0453,0.0309,0.0726,0.30345,0.4497,0.4671,0.4666,0.1997,0.0954,0.0327,0.0534,0.031,0.072,0.3118,0.4935,0.5078,0.5085,0.2716,0.19665,0.0464,0.06875,0.07195,0.10855,0.1906,0.2281,0.2691,0.23765,0.4216,0.348,0.09145,0.1221,0.17,0.2009,0.21625,0.23515,0.26515,0.25575,0.39635,0.3277,0.0867,0.1289,0.15785,0.213,0.2782,0.3032,0.3268,0.31145,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3126,0.2159,0.0858,0.1148,0.1547,0.1856,0.211,0.2259,0.2534,0.2509,0.229,0.1661,0.0415,0.0731,0.0868,0.1252,0.1594,0.1697,0.1866,0.1882,0.23235,0.1362,0.04845,0.0822,0.0672,0.13465,0.2509,0.27205,0.2856,0.2813,0.114,0.0676,0.1226,0.1474,0.1744,0.2073,0.2324,0.2425,0.2611,0.2703,0.294,0.21215,0.08265,0.12025,0.1587,0.18925,0.2123,0.2237,0.24965,0.24985,0.3308,0.26225,0.0913,0.13245,0.17235,0.20745,0.2154,0.23515,0.25255,0.24705,0.2923,0.21045,0.0644,0.1026,0.1049,0.1546,0.216,0.2293,0.2467,0.24595,0.16015,0.0644,0.0198,0.0367,0.0189,0.05325,0.29675,0.46265,0.4774,0.4767,0.19445,0.0838,0.03275,0.0504,0.03075,0.0685,0.3185,0.48565,0.51225,0.4864,0.2475,0.152,0.0436,0.0683,0.0766,0.1222,0.1512,0.1753,0.1988,0.1692,0.39765,0.29565,0.086,0.12025,0.17195,0.2045,0.22855,0.2486,0.2791,0.2633,0.3973,0.3686,0.0897,0.1387,0.1942,0.219,0.2332,0.2448,0.2719,0.2642,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
